[order_number],[tran],[crn],[shipped_on]
#205107403417-10791539860,172111694,738488462273,2017/07/06
#205107483417-10801328468,172112627,738488462284,2017/07/06
#205107490417-10801724820,172112381,738488462295,2017/07/06
#205107445417-10797488468,172113028,738488462300,2017/07/06
#205107449417-10797784084,171806499,738488462310,2017/07/06
#205107451417-10797817044,170114941,738488462321,2017/07/06
#205107453417-10798064532,172001554,738488462332,2017/07/06
#205107454417-10798087764,172111824,738488462343,2017/07/06
#205107460417-10798453204,172111944,738488462354,2017/07/06
#205107462417-10798604948,171906591,738488462365,2017/07/06
#205107466417-10798750100,172111406,738488462376,2017/07/06
#205107469417-10799114580,172111891,738488462387,2017/07/06
#205107470417-10799658196,172113062,738488462398,2017/07/06
#205107474417-10800440404,171805065,738488462402,2017/07/06
#205107477417-10800820244,171803126,738488462413,2017/07/06
#205107478417-10800830484,171804840,738488462424,2017/07/06
#205107479417-10800876436,172112378,738488462435,2017/07/06
#205107480417-10800897812,172112725,738488462446,2017/07/06
#205107481417-10801067988,172111546,738488462457,2017/07/06
#205107486417-10801441556,172202612,738488462468,2017/07/06
#205107495417-10802288084,171804979,738488462479,2017/07/06
#205107496417-10802288148,172001144,738488462480,2017/07/06
#205107497417-10802288276,172202881,738488462490,2017/07/06
#205107498417-10802288468,172111528,738488462505,2017/07/06
#205107499417-10802288532,171805628,738488462516,2017/07/06
#205107500417-10802288596,163404695,738488462527,2017/07/06
#205107501417-10802288660,171906200,738488462538,2017/07/06
#205107502417-10802288980,172112132,738488462549,2017/07/06
#205107503417-10802289172,172203628,738488462550,2017/07/06
#205107504417-10802289236,172202696,738488462560,2017/07/06
#205107505417-10802289428,163405560,738488462571,2017/07/06
#205107506417-10802289556,164106562,738488462582,2017/07/06
#205107507417-10802289684,172202370,738488462593,2017/07/06
#205107508417-10802289812,170114951,738488462608,2017/07/06
#205107509417-10802290004,170909934,738488462619,2017/07/06
#205107510417-10802290132,171800908,738488462620,2017/07/06
#205107511417-10802319508,171608920,738488462630,2017/07/06
#205107512417-10802319572,172202675,738488462641,2017/07/06
#205107513417-10802319828,172112734,738488462652,2017/07/06
#205107514417-10802319892,170211601,738488462663,2017/07/06
#205107515417-10802320276,172111715,738488462674,2017/07/06
#205107516417-10802320660,172202581,738488462685,2017/07/06
#205107517417-10802320724,172001201,738488462696,2017/07/06
#205107518417-10802320852,164513407,738488462700,2017/07/06
#205107519417-10802321108,163902594,738488462711,2017/07/06
#205107520417-10802321236,172112820,738488462722,2017/07/06
#205107521417-10802321300,170114950,738488462733,2017/07/06
#205107522417-10802321428,172112722,738488462744,2017/07/06
#205107523417-10802321492,172001192,738488462755,2017/07/06
#205107524417-10802321620,172112421,738488462766,2017/07/06
#205107525417-10802321684,172203820,738488462777,2017/07/06
#205107526417-10802321940,172112704,738488462788,2017/07/06
#205107527417-10802322196,172203536,738488462799,2017/07/06
#205107528417-10802322516,170114894,738488462803,2017/07/06
#205107529417-10802322580,170114937,738488462814,2017/07/06
#205107530417-10802322708,164106279,738488462825,2017/07/06
#205107531417-10802322772,164212130,738488462836,2017/07/06
#205107532417-10802322900,164401041,738488462847,2017/07/06
#205107533417-10802323028,164508000,738488462858,2017/07/06
#205107534417-10802323092,164206938,738488462869,2017/07/06
#205107535417-10802323156,170912142,738488462870,2017/07/06
#205107536417-10802323220,172203443,738488462880,2017/07/06
#205107537417-10802323284,163404734,738488462891,2017/07/06
#205107538417-10802323348,172202746,738488462906,2017/07/06
#205107539417-10802323732,164106248,738488462917,2017/07/06
#205107540417-10802323796,172202409,738488462928,2017/07/06
#205107541417-10802323988,170211878,738488462939,2017/07/06
#205107542417-10802324180,172202908,738488462940,2017/07/06
#205107543417-10802324244,172000919,738488462950,2017/07/06
#205107544417-10802324436,172112598,738488462961,2017/07/06
#205107545417-10802324692,172112542,738488462972,2017/07/06
#205107546417-10802324756,172112492,738488462983,2017/07/06
#205107547417-10802324884,172112020,738488462994,2017/07/06
#205107548417-10802325076,164207695,738488463008,2017/07/06
#205107549417-10802325140,172111719,738488463019,2017/07/06
#205107550417-10802325204,163404339,738488463020,2017/07/06
#205107551417-10802325268,170213734,738488463030,2017/07/06
#205107552417-10802325460,165201041,738488463041,2017/07/06
#205107553417-10802325588,163701610,738488463052,2017/07/06
#205107554417-10802325844,172111543,738488463063,2017/07/06
#205107555417-10802325908,172112528,738488463074,2017/07/06
#205107556417-10802325972,172202933,738488463085,2017/07/06
#205107557417-10802326804,163405505,738488463096,2017/07/06
#205107558417-10802326932,163506233,738488463100,2017/07/06
#205107559417-10802327124,172202527,738488463111,2017/07/06
#205107560417-10802327380,170212690,738488463122,2017/07/06
#205107561417-10802327636,170114942,738488463133,2017/07/06
#205107562417-10802327700,172203481,738488463144,2017/07/06
#205107563417-10802327892,163405639,738488463155,2017/07/06
#205107564417-10802328020,172203278,738488463166,2017/07/06
#205107565417-10802354132,172202459,738488463177,2017/07/06
#205107447417-10797696532,172113105,738488463188,2017/07/06
#205107457417-10798376596,171800631,738488463199,2017/07/06
#205107461417-10798588692,172113290,738488463203,2017/07/06
#205107463417-10798636052,171802685,738488463214,2017/07/06
#205107464417-10798659540,172112948,738488463225,2017/07/06
#205107465417-10798677588,172111438,738488463236,2017/07/06
#205107468417-10799114004,171801789,738488463247,2017/07/06
#205107475417-10800537428,172112974,738488463258,2017/07/06
#205107476417-10800719700,172112561,738488463269,2017/07/06
#205107482417-10801249556,172002189,738488463270,2017/07/06
#205107487417-10801570580,172111369,738488463280,2017/07/06
#205107489417-10801680980,172111436,738488463291,2017/07/06
#205107492417-10801939796,171805060,738488463306,2017/07/06
#205107494417-10801998612,172112582,738488463317,2017/07/06
#205107566417-10802376468,171805772,738488463328,2017/07/06
